Mention,ConceptCode,ConceptName,SemanticType,Start
MSN,C71374,Master of Science in Nursing,Intellectual Product,21215
planned,C25619,Plan,Activity,21232
internal,C25234,Internal,Spatial Concept,21276
student,C75561,Student,Occupation or Discipline,21291
characteristics,C25447,Characteristic,Conceptual Entity,21299
external,C44280,External,Spatial Concept,21320
needs,C41204,Need,Conceptual Entity,21329
environment,C16551,Environment,Functional Concept,21362
function,C25518,Function,Conceptual Entity,21402
factors,C84380,Mathematical Factor,Conceptual Entity,21426
influence,C121660,Influence,Conceptual Entity,21439
based,C48055,Base,Qualitative Concept,21463
analysis,C25391,Analysis,Activity,21495
Study,C63536,Study,Research Activity,21525
limitations,C121422,Limited Lifting Ability,Intellectual Product,21531
study,C63536,Study,Research Activity,21549
number,C25337,Number,Quantitative Concept,21561
limitations,C121422,Limited Lifting Ability,Intellectual Product,21571
Only,C65011,Only,Qualitative Concept,21584
nurses,C25596,Breast Feeding,Therapeutic or Preventive Procedure,21593
public,C49060,Public,Qualitative Concept,21615
sector,C48955,Sector,Geographic Area,21622
study,C63536,Study,Research Activity,21671
More than,C61584,Greater Than,Quantitative Concept,21678
half,C81009,Half,Conceptual Entity,21688
study,C63536,Study,Research Activity,21813
results,C20200,Outcome,Finding,21819
example,C48175,Example,Conceptual Entity,21832
may,C106184,May,Qualitative Concept,21850
difference,C46003,Difference,Qualitative Concept,21859
job,C25193,Occupation,Occupation or Discipline,21873
securities,C95498,Secure,Mental Process,21877
between,C94545,Between,Qualitative Concept,21888
public,C49060,Public,Qualitative Concept,21896
private,C54104,Private,Qualitative Concept,21907
sectors,C48955,Sector,Geographic Area,21915
difference,C46003,Difference,Qualitative Concept,21929
MSN,C71374,Master of Science in Nursing,Intellectual Product,21977
regions,C41129,Region,Spatial Concept,21997
intention,C25725,Intent,Qualitative Concept,22006
nurses,C25596,Breast Feeding,Therapeutic or Preventive Procedure,22019
may,C106184,May,Qualitative Concept,22060
have,C101282,Have,Classification,22064
needs,C41204,Need,Conceptual Entity,22127
assessment,C25367,Assessment,Intellectual Product,22133
national,C61423,National,Conceptual Entity,22167
project,C47885,Project,Conceptual Entity,22176
MSN,C71374,Master of Science in Nursing,Intellectual Product,22200
Bangladesh,C16323,Bangladesh,Geographic Area,22217
may,C106184,May,Qualitative Concept,22234
have,C101282,Have,Classification,22238
social,C62650,Social,Qualitative Concept,22258
bias,C28232,Bias,Idea or Concept,22278
questionnaire,C17048,Questionnaire,Intellectual Product,22317
questionnaires,C17048,Questionnaire,Intellectual Product,22346
distributed,C45273,Distribution,Activity,22366
collected,C25452,Collected,Conceptual Entity,22382
organization,C92453,Organization,Activity,22420
may,C106184,May,Qualitative Concept,22440
have,C101282,Have,Classification,22444
affected,C64917,Affected,Qualitative Concept,22449
voluntary,C74096,Voluntary,Qualitative Concept,22503
participation,C25608,Participation,Functional Concept,22513
research,C15319,Research,Research Activity,22534
assisted,C89271,Assistance,Activity,22547
wide,C124593,Wide,Qualitative Concept,22568
terms,C114093,Term Birth,Finding,22591
measurement,C25209,Measurement,Quantitative Concept,22600
questionnaire,C17048,Questionnaire,Intellectual Product,22626
dated,C25164,Date,Temporal Concept,22650
Bangladeshi,C43671,Bangladeshi,Population Group,22659
nurses,C25596,Breast Feeding,Therapeutic or Preventive Procedure,22683
may,C106184,May,Qualitative Concept,22694
not,C25594,Negation,Functional Concept,22698
have,C101282,Have,Classification,22702
sensitive,C3114,Hypersensitivity,Disease or Syndrome,22725
cultural,C16478,Culture,Idea or Concept,22738
differences,C46003,Difference,Qualitative Concept,22747
may,C106184,May,Qualitative Concept,22803
have,C101282,Have,Classification,22807
different,C46003,Difference,Qualitative Concept,22817
intent,C25725,Intent,Qualitative Concept,22836
questions,C86071,Equivocal,Conceptual Entity,22850
lowering,C86568,Lower,Activity,22861
reliability,C73622,Reliability,Quantitative Concept,22874
job,C25193,Occupation,Occupation or Discipline,22893
satisfaction,C62185,Satisfaction,Mental Process,22897
scale,C25664,Scale,Intellectual Product,22910
future,C67527,Future,Temporal Concept,22921
study,C63536,Study,Research Activity,22928
face,C13071,Face,Body Location or Region,22948
face,C13071,Face,Body Location or Region,22956
well,C70592,Well,Spatial Concept,22991
questions,C86071,Equivocal,Conceptual Entity,22996
fit,C70826,Fit,Activity,23029
between,C94545,Between,Qualitative Concept,23033
noted,C126374,Notable,Conceptual Entity,23041
answers,C49149,Answer,Intellectual Product,23047
being,C89327,Be,Qualitative Concept,23067
measured,C44473,Measured,Qualitative Concept,23073
al,C111127,Aluminum Measurement,Laboratory Procedure,23094
testing,C15336,Testing,Occupational Activity,23113
evaluate questionnaire,C121940,Questionnaire Evaluator,Professional or Occupational Group,23149
different,C46003,Difference,Qualitative Concept,23202
cultures,C17201,Tissue Culture,Laboratory Procedure,23212
data,C25474,Data,Idea or Concept,23232
quality,C25283,Quality,Conceptual Entity,23237
Conclusion,C54033,Conclusion,Finding,23247
study,C63536,Study,Research Activity,23264
provide,C80514,Provide,Activity,23287
baseline,C25213,Baseline,Conceptual Entity,23295
data,C25474,Data,Idea or Concept,23304
need,C41204,Need,Conceptual Entity,23319
level education,C17953,Education Level,Organism Attribute,23337
nursing education,C20844,Nurse Educator,Biomedical Occupation or Discipline,23343
well,C70592,Well,Spatial Concept,23365
other,C17649,Other,Qualitative Concept,23373
factors,C84380,Mathematical Factor,Conceptual Entity,23379
relevant,C70664,Relevance,Qualitative Concept,23387
MSN,C71374,Master of Science in Nursing,Intellectual Product,23415
results,C20200,Outcome,Finding,23450
strong,C14614,Strong,,23469
intent study,C49652,Clinical Study by Intent,Research Activity,23476
higher,C25227,High,Qualitative Concept,23514
educational nursing nursing,C20844,Nurse Educator,Biomedical Occupation or Discipline,23521
confidence,C43367,Confidence,Conceptual Entity,23544
clinical,C25398,Clinical,Qualitative Concept,23568
competence,C99568,Competency,Conceptual Entity,23577
high,C25227,High,Qualitative Concept,23592
important,C115916,Important,Qualitative Concept,23665
findings,C61036,Investigation Finding,Finding,23675
evidence,C43583,Evidence,Idea or Concept,23700
MSN,C71374,Master of Science in Nursing,Intellectual Product,23725
Bangladesh,C16323,Bangladesh,Geographic Area,23742
nursing,C16926,Nursing,Biomedical Occupation or Discipline,23772
health policy,C16668,Health Policy,Regulation or Law,23784
number,C25337,Number,Quantitative Concept,23820
countries,C66786,CDISC SDTM Country Terminology,Intellectual Product,23841
education nurses,C20844,Nurse Educator,Biomedical Occupation or Discipline,23876
policy,C17735,Policy,Governmental or Regulatory Activity,23924
based,C48055,Base,Qualitative Concept,23952
national,C61423,National,Conceptual Entity,23961
needs,C41204,Need,Conceptual Entity,23970
social,C62650,Social,Qualitative Concept,23995
contexts,C41086,Application Context,Conceptual Entity,24002
countries,C66786,CDISC SDTM Country Terminology,Intellectual Product,24068
may,C106184,May,Qualitative Concept,24078
not,C25594,Negation,Functional Concept,24082
relevant,C70664,Relevance,Qualitative Concept,24089
local,C67263,Local,Spatial Concept,24101
needs,C41204,Need,Conceptual Entity,24107
Results,C20200,Outcome,Finding,24114
needs,C41204,Need,Conceptual Entity,24139
assessments,C25367,Assessment,Intellectual Product,24145
guidelines,C17564,Guideline,Intellectual Product,24211
planning,C25619,Plan,Activity,24239
needs,C41204,Need,Conceptual Entity,24272
assessments,C25367,Assessment,Intellectual Product,24278
take,C65105,Take,Activity,24297
precedence,C48911,Priority,Qualitative Concept,24302
ensure,C74452,Nutritional Supplement Drink,Pharmacologic Substance,24316
best,C25432,Best,Qualitative Concept,24327
possible,C82490,Possible,Qualitative Concept,24332
outcome,C20200,Outcome,Finding,24353
restricted,C53452,Restriction,Natural Phenomenon or Process,24369
budgets,C60757,Budget,Intellectual Product,24380
addition,C64911,Add,Activity,24393
advanced practice nurses,C20825,Advanced Practice Nurse,Biomedical Occupation or Discipline,24403
able,C78209,Ability,Functional Concept,24436
key,C46002,Key,Conceptual Entity,24462
healthcare delivery,C15219,Health Care Delivery,Health Care Activity,24481
delivery health care,C15219,Health Care Delivery,Health Care Activity,24492
system,C25700,System,Conceptual Entity,24501
health care providing,C16666,Health Care Provider,Professional or Occupational Group,24512
shifts,C73943,Physical Shift,Phenomenon or Process,24524
hospital,C16696,Hospital,Health Care Related Organization,24546
based,C48055,Base,Qualitative Concept,24555
community,C16453,Community,Conceptual Entity,24569
MSN,C71374,Master of Science in Nursing,Intellectual Product,24597
based,C48055,Base,Qualitative Concept,24611
unique,C45282,Unique,Qualitative Concept,24620
social,C62650,Social,Qualitative Concept,24627
properties,C62498,Object Property,Conceptual Entity,24634
nursing,C16926,Nursing,Biomedical Occupation or Discipline,24659
healthcare,C15363,Healthcare,Health Care Activity,24690
sectors,C48955,Sector,Geographic Area,24701
competent,C99568,Competency,Conceptual Entity,24714
sensitive,C3114,Hypersensitivity,Disease or Syndrome,24736
eyes,C22711,Mouse Eye,"Body Part, Organ, or Organ Component",24746
health,C25178,Health,Idea or Concept,24762
outcomes,C20200,Outcome,Finding,24769
people,C95553,People,Population Group,24781
Bangladesh,C16323,Bangladesh,Geographic Area,24791
able,C78209,Ability,Functional Concept,24816
make,C64661,Make,Activity,24824
contributions,C61412,Contribution,Activity,24829
Development disease,C43773,EO_Develops_Disease,Conceptual Entity,24871
Bangladesh,C16323,Bangladesh,Geographic Area,24892
maternal mortality,C111860,Maternal Mortality,Finding,24915
child,C16423,Child,Age Group,24924
health policies,C16668,Health Policy,Regulation or Law,24984
take,C65105,Take,Activity,25004
actions,C25404,Action,Activity,25019
equal,C61582,Equality,Functional Concept,25034
other,C17649,Other,Qualitative Concept,25053
healthcare,C15363,Healthcare,Health Care Activity,25059
